player,position,season,week,actual_ppr,prediction,model,fold,training_window,weighting_strategy,p25,p50,p75,p90
00-0034796,QB,2023,7,33.9,17.1,baseline_recent_game,2023,all,none,,,,
00-0034796,QB,2023,8,12.0,33.9,baseline_recent_game,2023,all,none,,,,
00-0034796,QB,2023,9,11.5,12.0,baseline_recent_game,2023,all,none,,,,
00-0034796,QB,2023,10,13.0,11.5,baseline_recent_game,2023,all,none,,,,
00-0034796,QB,2023,11,24.0,13.0,baseline_recent_game,2023,all,none,,,,
00-0034796,QB,2023,12,15.0,24.0,baseline_recent_game,2023,all,none,,,,
00-0034796,QB,2023,14,31.6,15.0,baseline_recent_game,2023,all,none,,,,
00-0034796,QB,2023,15,18.5,31.6,baseline_recent_game,2023,all,none,,,,
00-0034796,QB,2023,16,22.6,18.5,baseline_recent_game,2023,all,none,,,,
00-0034796,QB,2023,17,36.3,22.6,baseline_recent_game,2023,all,none,,,,
00-0034796,QB,2023,20,36.1,36.3,baseline_recent_game,2023,all,none,,,,
00-0034796,QB,2023,21,18.6,36.1,baseline_recent_game,2023,all,none,,,,
00-0034855,QB,2023,1,16.0,5.5,baseline_recent_game,2023,all,none,,,,
00-0034855,QB,2023,2,18.4,16.0,baseline_recent_game,2023,all,none,,,,
00-0034855,QB,2023,3,10.0,18.4,baseline_recent_game,2023,all,none,,,,
00-0034855,QB,2023,4,22.9,10.0,baseline_recent_game,2023,all,none,,,,
00-0034855,QB,2023,6,6.8,22.9,baseline_recent_game,2023,all,none,,,,
00-0034855,QB,2023,7,16.2,6.8,baseline_recent_game,2023,all,none,,,,
00-0034855,QB,2023,8,21.4,16.2,baseline_recent_game,2023,all,none,,,,
00-0034855,QB,2023,9,19.0,21.4,baseline_recent_game,2023,all,none,,,,
00-0034855,QB,2023,10,18.3,19.0,baseline_recent_game,2023,all,none,,,,
00-0034855,QB,2023,11,10.3,18.3,baseline_recent_game,2023,all,none,,,,
00-0034855,QB,2023,12,13.4,10.3,baseline_recent_game,2023,all,none,,,,
00-0034855,QB,2023,13,9.9,13.4,baseline_recent_game,2023,all,none,,,,
00-0034855,QB,2023,14,20.1,9.9,baseline_recent_game,2023,all,none,,,,
00-0034855,QB,2023,15,29.0,20.1,baseline_recent_game,2023,all,none,,,,
00-0034855,QB,2023,16,19.8,29.0,baseline_recent_game,2023,all,none,,,,
